bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
0,-1.0,-0.9875,[1.443896838896854958216531041904683627220141584 +/- 4.76e-46],1.443896838896855,True,1203,44,349,229,20,16,[1588.33224894235174713841683818 +/- 2.09e-27]
1,-0.9875,-0.975,[1.488771418615306357658682326921256341124781089 +/- 3.26e-46],1.4887714186153063,True,1143,40,333,219,20,15,[1320.54377562593366343501804216 +/- 3.32e-27]
2,-0.975,-0.9625,[1.529361813601161036887937187997017649423404629 +/- 4.47e-46],1.529361813601161,True,963,40,286,176,20,14,[1269.38663972981680737627639647 +/- 3.65e-28]
3,-0.9625,-0.95,[1.571117269794520603998486265976660835454194729 +/- 4.03e-46],1.5711172697945206,True,535,28,149,105,14,14,[584.819275974003548974410525825 +/- 2.95e-28]
4,-0.95,-0.9375,[1.6112734420207687221577533673856492063911975775 +/- 9.75e-47],1.6112734420207688,True,623,28,189,109,14,12,[442.019131065730983720982702921 +/- 5.10e-29]
5,-0.9375,-0.925,[1.6497238813803975668181544555300711901316748859 +/- 8.95e-47],1.6497238813803976,True,729,44,162,173,14,12,[612.096136144421328650134511123 +/- 2.08e-28]
6,-0.925,-0.9125,[1.6865925986428230200647144265012631515587023565 +/- 7.42e-47],1.686592598642823,True,1041,59,313,161,12,10,[906.493778915664921623627572194 +/- 3.87e-28]
7,-0.9125,-0.9,[1.725371111692066190989122356082266021931605162 +/- 1.31e-46],1.7253711116920663,True,1095,75,334,155,16,12,[777.026211597437450216613162226 +/- 1.15e-28]
8,-0.9,-0.8875,[1.766273067158101343732389586299393359666938632 +/- 3.73e-46],1.7662730671581013,True,993,60,309,141,14,11,[780.075874641981234614010507261 +/- 2.91e-28]
9,-0.8875,-0.875,[1.8093978941404508813113884948097398145360125566 +/- 8.18e-47],1.809397894140451,True,1009,86,285,148,14,12,[217.927507238687698715892564674 +/- 1.25e-28]
10,-0.875,-0.8625,[1.847062238885743465090510164491353929548592977 +/- 6.44e-46],1.8470622388857434,True,1095,186,274,104,16,12,[476.462872347299058972310509611 +/- 4.77e-28]
11,-0.8625,-0.85,[1.876665460453797528037125838872617693632684297 +/- 2.21e-46],1.8766654604537976,True,501,28,122,115,14,12,[316.580868518304434026710163807 +/- 6.0e-31]
12,-0.85,-0.8375,[1.906345598420339402798326569936522689104194758 +/- 6.21e-46],1.9063455984203395,True,846,87,186,166,16,12,[357.067071932061603965896911957 +/- 2.73e-28]
13,-0.8375,-0.825,[1.936252450854507752463523584379010551416427781 +/- 3.64e-46],1.9362524508545078,True,845,99,181,159,16,12,[417.371086881607245843184459733 +/- 3.49e-28]
14,-0.825,-0.8125,[1.966527899411370984724441131137974597678845922 +/- 2.80e-46],1.966527899411371,True,649,37,194,110,16,12,[273.222230020717055235105041347 +/- 3.63e-28]
15,-0.8125,-0.8,[1.996544507589275049177094301018326857989550033 +/- 9.20e-46],1.9965445075892752,True,1451,55,427,264,20,14,[1012.13333126476184937298113245 +/- 3.06e-28]
16,-0.8,-0.7875,[2.005659231735534594600505753411432008283932379 +/- 4.64e-46],2.0056592317355344,True,1551,50,248,503,25,22,[165.991659694012422699040688260 +/- 1.73e-29]
17,-0.7875,-0.775,[2.012179435052033574541040759080786103599605156 +/- 5.66e-46],2.0121794350520337,True,1389,50,226,444,25,22,[181.574872532474812967263177574 +/- 3.48e-28]
18,-0.775,-0.7625,[2.018832241977968226370599507104088062946169594 +/- 5.33e-46],2.018832241977968,True,1363,50,225,432,25,23,[187.477195651354179776228641852 +/- 4.38e-29]
19,-0.7625,-0.75,[2.025618103205056680024890733618562537680217725 +/- 7.64e-46],2.0256181032050566,True,1295,50,216,407,25,23,[191.725960650300835154076488700 +/- 4.93e-28]
20,-0.75,-0.7375,[2.032464279101064176440948177548388061700828582 +/- 7.07e-46],2.032464279101064,True,1307,50,220,409,25,23,[191.792794876797869665628791906 +/- 2.72e-28]
21,-0.7375,-0.725,[2.038950352805409582240043396914643312936098418 +/- 3.32e-46],2.0389503528054096,True,1327,50,226,413,25,22,[189.634106399310666091142524053 +/- 4.95e-28]
22,-0.725,-0.7124999999999999,[2.045387331291130966646517929466020283939539378 +/- 5.84e-46],2.045387331291131,True,1335,50,231,412,25,22,[184.125936332261389636960858137 +/- 2.76e-28]
23,-0.7124999999999999,-0.7,[2.051977827670198705757748636526407405187073769 +/- 6.55e-46],2.0519778276701985,True,1327,50,233,406,25,22,[180.731606429218948927166716054 +/- 2.56e-28]
24,-0.7,-0.6875,[2.058726767497764088005235694684794268614357943 +/- 5.96e-46],2.058726767497764,True,1331,50,231,410,25,22,[178.647495844863361343369435403 +/- 3.04e-28]
25,-0.6875,-0.675,[2.065640000513886212066578394988837401413838952 +/- 6.62e-46],2.0656400005138864,True,1341,50,227,419,25,22,[176.947809201885359624324522581 +/- 3.88e-28]
26,-0.675,-0.6625,[2.072720518103450079957611255488670882635400409 +/- 4.13e-46],2.0727205181034503,True,1315,50,231,402,25,22,[176.331453785384461833996907464 +/- 8.85e-29]
27,-0.6625,-0.6499999999999999,[2.079973043470099485868812701081688967019873450 +/- 4.95e-46],2.0799730434700994,True,1309,50,230,400,25,22,[175.253136295437668670138759611 +/- 3.52e-28]
